nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
Warung Bu Kris - Kayon,3799,4.5,4.5,3799,4.498445258594309,Sangat tinggi,TRUE,-0.001554741405691118
Warung Curhat,216,4.4,4.4,216,4.4477064379470805,Sangat tinggi,TRUE,0.04770643794708018
Warung Imood,1482,4.7,4.7,1482,4.660975185967617,Sangat tinggi,TRUE,-0.039024814032383226
Warung Lestari,86,4.5,4.5,86,4.484209118423332,Rendah,TRUE,-0.015790881576667637
Warung Mama Titik,548,4.7,4.7,548,4.6189588444042204,Sangat tinggi,TRUE,-0.08104115559577973
Warung Mapan,3884,4.5,4.5,3884,4.498476697399943,Sangat tinggi,TRUE,-0.0015233026000567307
Warung NOW,548,4.8,4.8,548,4.6821288732226645,Sangat tinggi,TRUE,-0.11787112677733536
Warung Pojok,81,4.5,4.5,81,4.484011978828118,Rendah,TRUE,-0.01598802117188214
Warung Sate Mak Tumi,42,4.6,4.6,42,4.493905387332396,Sangat rendah,TRUE,-0.10609461266760345
Warung Sate dan Kare Kambing,104,4.6,4.6,104,4.509437538419507,Sedang,TRUE,-0.0905624615804923
Warung Sopo Ngiro (SONGIR),44,4.3,4.3,44,4.458175508997693,Sangat rendah,TRUE,0.15817550899769284
Warung Tombo Luwe,131,4.5,4.5,131,4.48578645398593,Sedang,TRUE,-0.01421354601407021
"Warung UK2 Lontong Mie, Gado gado",74,4.4,4.4,74,4.464921975910194,Rendah,TRUE,0.06492197591019355
Wizzmie - Tunjungan,16118,4.8,4.8,16118,4.793779272852968,Sangat tinggi,TRUE,-0.006220727147032257
mie ayam ceker cak tris,39,4.3,4.3,39,4.460381583042291,Sangat rendah,TRUE,0.160381583042291
